timestamp,sequence,EEG-imp-ch1,EEG-imp-ch2,EEG-imp-ch3,EEG-imp-ch4,EEG-imp-ch5,EEG-imp-ch6,EEG-imp-ch7,EEG-imp-ch8
48355372912,47248,1,1,1,1,1,1,1,1
48355396726,47249,1,1,1,1,1,1,1,1
48355425372,47250,1,1,1,1,1,1,1,1
48355459166,47251,1,1,1,1,1,1,1,1
48355499100,47252,1,1,1,1,1,1,1,1
48355526681,47253,1,1,1,1,1,1,1,1
48355556609,47254,1,1,1,1,1,1,1,1
48355586585,47255,1,1,1,1,1,1,1,1
48355616687,47256,1,1,1,1,1,1,1,1
48355647928,47257,1,1,1,1,1,1,1,1
48355679394,47258,1,1,1,1,1,1,1,1
48355707156,47259,1,1,1,1,1,1,1,1
48355738287,47260,1,1,1,1,1,1,1,1
48355822769,47261,1,1,1,1,1,1,1,1
48355826613,47262,1,1,1,1,1,1,1,1
48355837884,47263,1,1,1,1,1,1,1,1
48355864140,47264,1,1,1,1,1,1,1,1
48355894109,47265,1,1,1,1,1,1,1,1
48355926704,47266,1,1,1,1,1,1,1,1
48355959175,47267,1,1,1,1,1,1,1,1
48355991601,47268,1,1,1,1,1,1,1,1
48356020385,47269,1,1,1,1,1,1,1,1
48356051539,47270,1,1,1,1,1,1,1,1
48356079469,47271,1,1,1,1,1,1,1,1
48356106868,47272,1,1,1,1,1,1,1,1
48356164224,47273,1,1,1,1,1,1,1,1
48356176686,47274,1,1,1,1,1,1,1,1
48356210347,47275,1,1,1,1,1,1,1,1
48356242848,47276,1,1,1,1,1,1,1,1
48356274072,47277,1,1,1,1,1,1,1,1
48356304121,47278,1,1,1,1,1,1,1,1
48356335657,47279,1,1,1,1,1,1,1,1
48356365529,47280,1,1,1,1,1,1,1,1
48356417871,47281,1,1,1,1,1,1,1,1
48356447854,47282,1,1,1,1,1,1,1,1
48356461620,47283,1,1,1,1,1,1,1,1
48356489664,47284,1,1,1,1,1,1,1,1
48356517925,47285,1,1,1,1,1,1,1,1
48356555401,47286,1,1,1,1,1,1,1,1
48356587434,47287,1,1,1,1,1,1,1,1
48356616713,47288,1,1,1,1,1,1,1,1
48356648035,47289,1,1,1,1,1,1,1,1
48356680380,47290,1,1,1,1,1,1,1,1
48356706735,47291,1,1,1,1,1,1,1,1
48356745348,47292,1,1,1,1,1,1,1,1
48356775396,47293,1,1,1,1,1,1,1,1
48356811568,47294,1,1,1,1,1,1,1,1
48356841837,47295,1,1,1,1,1,1,1,1
48356870457,47296,1,1,1,1,1,1,1,1
48356898082,47297,1,1,1,1,1,1,1,1
48356926729,47298,1,1,1,1,1,1,1,1
48356959218,47299,1,1,1,1,1,1,1,1
48356991700,47300,1,1,1,1,1,1,1,1
48357021722,47301,1,1,1,1,1,1,1,1
48357054279,47302,1,1,1,1,1,1,1,1
48357089163,47303,1,1,1,1,1,1,1,1
48357119255,47304,1,1,1,1,1,1,1,1
48357156644,47305,1,1,1,1,1,1,1,1
48357184146,47306,1,1,1,1,1,1,1,1
48357211575,47307,1,1,1,1,1,1,1,1
48357242838,47308,1,1,1,1,1,1,1,1
48357274334,47309,1,1,1,1,1,1,1,1
48357300553,47310,1,1,1,1,1,1,1,1
48357329156,47311,1,1,1,1,1,1,1,1
48357366865,47312,1,1,1,1,1,1,1,1
48357397891,47313,1,1,1,1,1,1,1,1
48357427965,47314,1,1,1,1,1,1,1,1
48357461641,47315,1,1,1,1,1,1,1,1
48357490476,47316,1,1,1,1,1,1,1,1
48357548306,47317,1,1,1,1,1,1,1,1
48357562879,47318,1,1,1,1,1,1,1,1
48357586672,47319,1,1,1,1,1,1,1,1
48357617806,47320,1,1,1,1,1,1,1,1
48357649158,47321,1,1,1,1,1,1,1,1
48357675657,47322,1,1,1,1,1,1,1,1
48357723208,47323,1,1,1,1,1,1,1,1
48357736240,47324,1,1,1,1,1,1,1,1
48357778023,47325,1,1,1,1,1,1,1,1
48357804097,47326,1,1,1,1,1,1,1,1
48357832892,47327,1,1,1,1,1,1,1,1
48357865513,47328,1,1,1,1,1,1,1,1
48357896705,47329,1,1,1,1,1,1,1,1
48357954932,47330,1,1,1,1,1,1,1,1
48357959245,47331,1,1,1,1,1,1,1,1
48357990464,47332,1,1,1,1,1,1,1,1
48358021619,47333,1,1,1,1,1,1,1,1
48358052986,47334,1,1,1,1,1,1,1,1
48358083063,47335,1,1,1,1,1,1,1,1
48358111794,47336,1,1,1,1,1,1,1,1
48358150436,47337,1,1,1,1,1,1,1,1
48358179169,47338,1,1,1,1,1,1,1,1
48358207814,47339,1,1,1,1,1,1,1,1
48358245649,47340,1,1,1,1,1,1,1,1
48358276680,47341,1,1,1,1,1,1,1,1
48358305667,47342,1,1,1,1,1,1,1,1
48358361641,47343,1,1,1,1,1,1,1,1
48358365385,47344,1,1,1,1,1,1,1,1
48358399227,47345,1,1,1,1,1,1,1,1
48358427823,47346,1,1,1,1,1,1,1,1
48358471210,47347,1,1,1,1,1,1,1,1
48358487163,47348,1,1,1,1,1,1,1,1
48358520922,47349,1,1,1,1,1,1,1,1
48358555464,47350,1,1,1,1,1,1,1,1
48358584149,47351,1,1,1,1,1,1,1,1
48358620522,47352,1,1,1,1,1,1,1,1
48358649190,47353,1,1,1,1,1,1,1,1
48358679127,47354,1,1,1,1,1,1,1,1
48358710508,47355,1,1,1,1,1,1,1,1
48358741664,47356,1,1,1,1,1,1,1,1
48358774136,47357,1,1,1,1,1,1,1,1
48358801746,47358,1,1,1,1,1,1,1,1
48358839135,47359,1,1,1,1,1,1,1,1
48358865652,47360,1,1,1,1,1,1,1,1
48358892550,47361,1,1,1,1,1,1,1,1
48358922957,47362,1,1,1,1,1,1,1,1
48358979287,47363,1,1,1,1,1,1,1,1
48358992949,47364,1,1,1,1,1,1,1,1
48359022580,47365,1,1,1,1,1,1,1,1
48359061677,47366,1,1,1,1,1,1,1,1
48359082956,47367,1,1,1,1,1,1,1,1
48359120516,47368,1,1,1,1,1,1,1,1
48359176635,47369,1,1,1,1,1,1,1,1
48359180345,47370,1,1,1,1,1,1,1,1
48359211633,47371,1,1,1,1,1,1,1,1
48359244073,47372,1,1,1,1,1,1,1,1
48359271025,47373,1,1,1,1,1,1,1,1
48359299384,47374,1,1,1,1,1,1,1,1
48359327581,47375,1,1,1,1,1,1,1,1
48359370612,47376,1,1,1,1,1,1,1,1
48359399254,47377,1,1,1,1,1,1,1,1
48359430513,47378,1,1,1,1,1,1,1,1
48359460507,47379,1,1,1,1,1,1,1,1
48359491612,47380,1,1,1,1,1,1,1,1
48359522913,47381,1,1,1,1,1,1,1,1
48359551786,47382,1,1,1,1,1,1,1,1
48359618059,47383,1,1,1,1,1,1,1,1
48359621602,47384,1,1,1,1,1,1,1,1
48359653031,47385,1,1,1,1,1,1,1,1
48359668772,47386,1,1,1,1,1,1,1,1
48359727143,47387,1,1,1,1,1,1,1,1
48359735477,47388,1,1,1,1,1,1,1,1
48359770520,47389,1,1,1,1,1,1,1,1
48359805507,47390,1,1,1,1,1,1,1,1
48359834161,47391,1,1,1,1,1,1,1,1
48359865553,47392,1,1,1,1,1,1,1,1
48359895450,47393,1,1,1,1,1,1,1,1
48359926683,47394,1,1,1,1,1,1,1,1
48359959205,47395,1,1,1,1,1,1,1,1
48359989113,47396,1,1,1,1,1,1,1,1
48360041678,47397,1,1,1,1,1,1,1,1
48360048152,47398,1,1,1,1,1,1,1,1
48360075008,47399,1,1,1,1,1,1,1,1
48360133458,47400,1,1,1,1,1,1,1,1
48360154318,47401,1,1,1,1,1,1,1,1
48360179200,47402,1,1,1,1,1,1,1,1
48360211617,47403,1,1,1,1,1,1,1,1
48360257951,47404,1,1,1,1,1,1,1,1
48360275533,47405,1,1,1,1,1,1,1,1
48360304274,47406,1,1,1,1,1,1,1,1
48360335424,47407,1,1,1,1,1,1,1,1
48360367894,47408,1,1,1,1,1,1,1,1
48360405553,47409,1,1,1,1,1,1,1,1
48360439182,47410,1,1,1,1,1,1,1,1
48360466784,47411,1,1,1,1,1,1,1,1
48360493866,47412,1,1,1,1,1,1,1,1
48360521760,47413,1,1,1,1,1,1,1,1
48360556655,47414,1,1,1,1,1,1,1,1
48360586710,47415,1,1,1,1,1,1,1,1
48360615488,47416,1,1,1,1,1,1,1,1
48360652966,47417,1,1,1,1,1,1,1,1
48360677879,47418,1,1,1,1,1,1,1,1
48360706662,47419,1,1,1,1,1,1,1,1
48360761667,47420,1,1,1,1,1,1,1,1
48360776651,47421,1,1,1,1,1,1,1,1
48360805353,47422,1,1,1,1,1,1,1,1
48360835360,47423,1,1,1,1,1,1,1,1
48360886300,47424,1,1,1,1,1,1,1,1
48360893506,47425,1,1,1,1,1,1,1,1
48360919690,47426,1,1,1,1,1,1,1,1
48360975619,47427,1,1,1,1,1,1,1,1
48360987944,47428,1,1,1,1,1,1,1,1
48361026678,47429,1,1,1,1,1,1,1,1
48361061693,47430,1,1,1,1,1,1,1,1
48361089115,47431,1,1,1,1,1,1,1,1
48361116981,47432,1,1,1,1,1,1,1,1
48361148059,47433,1,1,1,1,1,1,1,1
48361181320,47434,1,1,1,1,1,1,1,1
48361210439,47435,1,1,1,1,1,1,1,1
48361239155,47436,1,1,1,1,1,1,1,1
48361266868,47437,1,1,1,1,1,1,1,1
48361299696,47438,1,1,1,1,1,1,1,1
48361330901,47439,1,1,1,1,1,1,1,1
48361370603,47440,1,1,1,1,1,1,1,1
48361397945,47441,1,1,1,1,1,1,1,1
48361428005,47442,1,1,1,1,1,1,1,1
48361475454,47443,1,1,1,1,1,1,1,1
48361516727,47444,1,1,1,1,1,1,1,1
48361524310,47445,1,1,1,1,1,1,1,1
48361551723,47446,1,1,1,1,1,1,1,1
48361584156,47447,1,1,1,1,1,1,1,1
48361616639,47448,1,1,1,1,1,1,1,1
48361641323,47449,1,1,1,1,1,1,1,1
48361668853,47450,1,1,1,1,1,1,1,1
48361725018,47451,1,1,1,1,1,1,1,1
48361731081,47452,1,1,1,1,1,1,1,1
48361787111,47453,1,1,1,1,1,1,1,1
48361809223,47454,1,1,1,1,1,1,1,1
48361842885,47455,1,1,1,1,1,1,1,1
48361869129,47456,1,1,1,1,1,1,1,1
48361896644,47457,1,1,1,1,1,1,1,1
48361927893,47458,1,1,1,1,1,1,1,1
48361964152,47459,1,1,1,1,1,1,1,1
48361992842,47460,1,1,1,1,1,1,1,1
48362024481,47461,1,1,1,1,1,1,1,1
48362048950,47462,1,1,1,1,1,1,1,1
48362081008,47463,1,1,1,1,1,1,1,1
48362109722,47464,1,1,1,1,1,1,1,1
48362154192,47465,1,1,1,1,1,1,1,1
48362184229,47466,1,1,1,1,1,1,1,1
48362210459,47467,1,1,1,1,1,1,1,1
48362245244,47468,1,1,1,1,1,1,1,1
48362271765,47469,1,1,1,1,1,1,1,1
48362301721,47470,1,1,1,1,1,1,1,1
48362342955,47471,1,1,1,1,1,1,1,1
48362366755,47472,1,1,1,1,1,1,1,1
48362400485,47473,1,1,1,1,1,1,1,1
48362429158,47474,1,1,1,1,1,1,1,1
48362457312,47475,1,1,1,1,1,1,1,1
48362485539,47476,1,1,1,1,1,1,1,1
48362516776,47477,1,1,1,1,1,1,1,1
48362572945,47478,1,1,1,1,1,1,1,1
48362589521,47479,1,1,1,1,1,1,1,1
48362615499,47480,1,1,1,1,1,1,1,1
