timestamp,sequence,battery,flags,IMU_B-ch1,IMU_B-ch2,IMU_B-ch3,IMU_B-ch4,IMU_B-ch5,IMU_B-ch6,IMU_B-ch7,IMU_B-ch8,IMU_B-ch9
47844066514,30887,5,0,9.2664550781,1.6556640625,-3.0625000000,-0.9451219512,0.7621951220,1.5243902439,113.3977320454,-101.3979720406,-77.3984520310
47844097558,30888,5,0,9.2066406250,1.6389160156,-3.1127441406,-0.7926829268,1.0060975610,0.7317073171,113.3977320454,-101.3979720406,-77.3984520310
47844127704,30889,5,0,9.2473144531,1.6652343750,-3.0744628906,-0.4268292683,0.7621951220,0.6707317073,113.3977320454,-101.3979720406,-77.3984520310
47844166381,30890,5,0,9.1970703125,1.7250488281,-3.1199218750,-0.3963414634,0.7621951220,0.4573170732,112.7977440451,-103.1979360413,-76.7984640307
47844195125,30891,5,0,9.2090332031,1.6724121094,-3.1127441406,-1.1280487805,0.5487804878,0.4268292683,112.7977440451,-103.1979360413,-76.7984640307
47844224997,30892,5,0,9.2640625000,1.7202636719,-3.1270996094,-0.6402439024,0.8536585366,0.7926829268,112.7977440451,-103.1979360413,-76.7984640307
47844253760,30893,5,0,9.1755371094,1.6676269531,-3.1462402344,-0.9146341463,1.4024390244,0.6707317073,112.7977440451,-103.1979360413,-76.7984640307
47844295008,30894,5,0,9.2640625000,1.7322265625,-3.0936035156,-0.3963414634,1.1890243902,0.5792682927,105.5978880422,-99.5980080398,-76.7984640307
47844318721,30895,5,0,9.2760253906,1.7106933594,-3.0696777344,-0.8231707317,1.6158536585,0.3353658537,105.5978880422,-99.5980080398,-76.7984640307
47844371560,30896,5,0,9.2592773438,1.7274414063,-3.0409667969,-1.1585365854,1.9512195122,0.4878048780,105.5978880422,-99.5980080398,-76.7984640307
47844378746,30897,5,0,9.2018554688,1.7274414063,-3.0481445313,-1.2804878049,2.0731707317,0.4268292683,105.5978880422,-99.5980080398,-76.7984640307
47844410004,30898,5,0,9.1827148438,1.6532714844,-3.0385742188,-1.3414634146,1.8597560976,0.0000000000,112.7977440451,-93.5981280374,-81.5983680326
47844443741,30899,5,0,9.2329589844,1.7441894531,-3.0385742188,0.0609756098,1.6158536585,-0.0609756098,112.7977440451,-93.5981280374,-81.5983680326
47844473750,30900,5,0,9.2760253906,1.5599609375,-2.9907226563,0.1829268293,1.9207317073,-0.0609756098,112.7977440451,-93.5981280374,-81.5983680326
47844504950,30901,5,0,9.3238769531,1.8422851563,-3.0457519531,1.8597560976,2.8353658537,1.0060975610,112.7977440451,-93.5981280374,-81.5983680326
47844535178,30902,5,0,9.2186035156,1.7370117188,-3.0385742188,-0.0914634146,3.0792682927,-0.1524390244,106.7978640427,-104.3979120418,-82.7983440331
47844588908,30903,5,0,9.2879882813,1.7274414063,-2.9572265625,-0.3963414634,2.7134146341,-0.3353658537,106.7978640427,-104.3979120418,-82.7983440331
47844598800,30904,5,0,9.2329589844,1.7513671875,-3.0098632813,-0.3048780488,2.8963414634,0.7926829268,106.7978640427,-104.3979120418,-82.7983440331
47844627561,30905,5,0,9.2353515625,1.6365234375,-2.9309082031,-0.8536585366,2.5304878049,0.8231707317,106.7978640427,-104.3979120418,-82.7983440331
47844665009,30906,5,0,9.3166992188,1.7178710938,-2.9596191406,0.0304878049,2.3780487805,1.0365853659,110.3977920442,-101.9979600408,-75.5984880302
47844692576,30907,5,0,9.2808105469,1.6915527344,-2.9787597656,-0.3963414634,2.4085365854,0.3963414634,110.3977920442,-101.9979600408,-75.5984880302
47844747558,30908,5,0,9.2951660156,1.7250488281,-2.9596191406,-0.3353658537,2.4695121951,0.3353658537,110.3977920442,-101.9979600408,-75.5984880302
47844756239,30909,5,0,9.3549804688,1.9332031250,-2.9931152344,-0.2743902439,2.8963414634,0.3353658537,110.3977920442,-101.9979600408,-75.5984880302
47844784991,30910,5,0,9.2090332031,1.7776855469,-3.0529296875,-2.7134146341,3.7500000000,0.4573170732,109.1978160437,-104.3979120418,-71.9985600288
47844817628,30911,5,0,9.2616699219,1.7824707031,-3.0242187500,-2.0426829268,3.1097560976,1.8597560976,109.1978160437,-104.3979120418,-71.9985600288
47844848793,30912,5,0,9.0439453125,1.2991699219,-3.0577148438,-2.4695121951,2.5609756098,2.5914634146,109.1978160437,-104.3979120418,-71.9985600288
47844881288,30913,5,0,8.9913085938,1.5288574219,-3.2658691406,3.3841463415,1.4329268293,2.1951219512,109.1978160437,-104.3979120418,-71.9985600288
47844908967,30914,5,0,9.4435058594,1.6652343750,-3.0553222656,5.7621951220,-0.5487804878,-0.8841463415,110.9977800444,-101.3979720406,-74.9985000300
47844941405,30915,5,0,9.1922851563,1.2106445313,-2.9763671875,2.7743902439,4.5121951220,-0.0609756098,110.9977800444,-101.3979720406,-74.9985000300
47844976272,30916,5,0,9.3310546875,1.3805175781,-2.9213378906,6.7378048780,6.1890243902,1.9817073171,110.9977800444,-101.3979720406,-74.9985000300
47845010401,30917,5,0,9.6923339844,1.5982421875,-2.7323242188,7.3475609756,7.6524390244,0.8841463415,110.9977800444,-101.3979720406,-74.9985000300
